Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Quarto 01;09:09:00;13725,00
02/01/2025;Quarto 01;11:04:00;16600,00
03/01/2025;Quarto 01;17:32:00;26300,00
04/01/2025;Quarto 01;05:59:00;8975,00
05/01/2025;Quarto 01;14:38:00;21950,00
06/01/2025;Quarto 01;16:31:00;24775,00
07/01/2025;Quarto 01;12:32:00;18800,00
08/01/2025;Quarto 01;05:01:00;7525,00
09/01/2025;Quarto 01;15:07:00;22675,00
10/01/2025;Quarto 01;17:26:00;26150,00
11/01/2025;Quarto 01;07:33:00;11325,00
12/01/2025;Quarto 01;17:35:00;26375,00
13/01/2025;Quarto 01;18:46:00;28150,00
14/01/2025;Quarto 01;20:38:00;30950,00
15/01/2025;Quarto 01;15:52:00;23800,00
16/01/2025;Quarto 01;03:39:00;5475,00
17/01/2025;Quarto 01;03:02:00;4550,00
18/01/2025;Quarto 01;05:07:00;7675,00
19/01/2025;Quarto 01;13:21:00;20025,00
20/01/2025;Quarto 01;14:31:00;21775,00
21/01/2025;Quarto 01;12:28:00;18700,00
22/01/2025;Quarto 01;16:21:00;24525,00
23/01/2025;Quarto 01;15:49:00;23725,00
24/01/2025;Quarto 01;05:29:00;8225,00
25/01/2025;Quarto 01;15:44:00;23600,00
26/01/2025;Quarto 01;19:11:00;28775,00
27/01/2025;Quarto 01;10:20:00;15500,00
28/01/2025;Quarto 01;08:11:00;12275,00
29/01/2025;Quarto 01;13:55:00;20875,00
30/01/2025;Quarto 01;15:01:00;22525,00
31/01/2025;Quarto 01;20:53:00;31325,00
01/02/2025;Quarto 01;19:02:00;28550,00
02/02/2025;Quarto 01;14:44:00;22100,00
03/02/2025;Quarto 01;18:55:00;28375,00
04/02/2025;Quarto 01;16:15:00;24375,00
05/02/2025;Quarto 01;10:22:00;15550,00
06/02/2025;Quarto 01;06:34:00;9850,00
07/02/2025;Quarto 01;02:35:00;3875,00
08/02/2025;Quarto 01;01:00:00;1500,00
09/02/2025;Quarto 01;01:17:00;1925,00
10/02/2025;Quarto 01;14:25:00;21625,00
11/02/2025;Quarto 01;15:11:00;22775,00
12/02/2025;Quarto 01;09:14:00;13850,00
13/02/2025;Quarto 01;12:46:00;19150,00
14/02/2025;Quarto 01;21:20:00;32000,00
15/02/2025;Quarto 01;11:42:00;17550,00
16/02/2025;Quarto 01;14:35:00;21875,00
17/02/2025;Quarto 01;15:44:00;23600,00
18/02/2025;Quarto 01;13:48:00;20700,00
19/02/2025;Quarto 01;17:18:00;25950,00
20/02/2025;Quarto 01;05:13:00;7825,00
21/02/2025;Quarto 01;12:23:00;18575,00
22/02/2025;Quarto 01;06:46:00;10150,00
23/02/2025;Quarto 01;21:37:00;32425,00
24/02/2025;Quarto 01;13:05:00;19625,00
25/02/2025;Quarto 01;04:50:00;7250,00
26/02/2025;Quarto 01;09:57:00;14925,00
27/02/2025;Quarto 01;06:19:00;9475,00
28/02/2025;Quarto 01;13:14:00;19850,00
01/03/2025;Quarto 01;06:29:00;9725,00
02/03/2025;Quarto 01;21:46:00;32650,00
03/03/2025;Quarto 01;12:44:00;19100,00
04/03/2025;Quarto 01;05:03:00;7575,00
05/03/2025;Quarto 01;12:18:00;18450,00
06/03/2025;Quarto 01;07:44:00;11600,00
07/03/2025;Quarto 01;13:40:00;20500,00
08/03/2025;Quarto 01;15:54:00;23850,00
09/03/2025;Quarto 01;09:21:00;14025,00
10/03/2025;Quarto 01;16:53:00;25325,00
11/03/2025;Quarto 01;18:13:00;27325,00
12/03/2025;Quarto 01;06:33:00;9825,00
13/03/2025;Quarto 01;12:09:00;18225,00
14/03/2025;Quarto 01;02:47:00;4175,00
15/03/2025;Quarto 01;22:05:00;33125,00
16/03/2025;Quarto 01;16:56:00;25400,00
17/03/2025;Quarto 01;10:39:00;15975,00
18/03/2025;Quarto 01;09:53:00;14825,00
19/03/2025;Quarto 01;11:13:00;16825,00
20/03/2025;Quarto 01;10:14:00;15350,00
21/03/2025;Quarto 01;02:55:00;4375,00
22/03/2025;Quarto 01;17:43:00;26575,00
23/03/2025;Quarto 01;10:30:00;15750,00
24/03/2025;Quarto 01;18:00:00;27000,00
25/03/2025;Quarto 01;09:07:00;13675,00
26/03/2025;Quarto 01;10:25:00;15625,00
27/03/2025;Quarto 01;18:51:00;28275,00
28/03/2025;Quarto 01;11:52:00;17800,00
29/03/2025;Quarto 01;01:04:00;1600,00
30/03/2025;Quarto 01;16:01:00;24025,00
31/03/2025;Quarto 01;17:55:00;26875,00
01/04/2025;Quarto 01;09:37:00;14425,00
02/04/2025;Quarto 01;17:15:00;25875,00
03/04/2025;Quarto 01;08:08:00;12200,00
04/04/2025;Quarto 01;07:50:00;11750,00
05/04/2025;Quarto 01;19:45:00;29625,00
06/04/2025;Quarto 01;19:19:00;28975,00
07/04/2025;Quarto 01;21:51:00;32775,00
08/04/2025;Quarto 01;17:07:00;25675,00
09/04/2025;Quarto 01;14:00:00;21000,00
10/04/2025;Quarto 01;14:02:00;21050,00
11/04/2025;Quarto 01;16:01:00;24025,00
12/04/2025;Quarto 01;11:40:00;17500,00
13/04/2025;Quarto 01;11:55:00;17875,00
