Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Cozinha;06:17:00;18850,00
02/01/2025;Cozinha;03:42:00;11100,00
03/01/2025;Cozinha;15:37:00;46850,00
04/01/2025;Cozinha;12:35:00;37750,00
05/01/2025;Cozinha;00:16:00;800,00
06/01/2025;Cozinha;21:43:00;65150,00
07/01/2025;Cozinha;07:19:00;21950,00
08/01/2025;Cozinha;01:51:00;5550,00
09/01/2025;Cozinha;10:33:00;31650,00
10/01/2025;Cozinha;10:28:00;31400,00
11/01/2025;Cozinha;19:04:00;57200,00
12/01/2025;Cozinha;16:35:00;49750,00
13/01/2025;Cozinha;08:30:00;25500,00
14/01/2025;Cozinha;17:17:00;51850,00
15/01/2025;Cozinha;10:26:00;31300,00
16/01/2025;Cozinha;15:34:00;46700,00
17/01/2025;Cozinha;12:29:00;37450,00
18/01/2025;Cozinha;13:06:00;39300,00
19/01/2025;Cozinha;10:18:00;30900,00
20/01/2025;Cozinha;04:52:00;14600,00
21/01/2025;Cozinha;18:28:00;55400,00
22/01/2025;Cozinha;11:42:00;35100,00
23/01/2025;Cozinha;13:01:00;39050,00
24/01/2025;Cozinha;13:59:00;41950,00
25/01/2025;Cozinha;14:09:00;42450,00
26/01/2025;Cozinha;15:01:00;45050,00
27/01/2025;Cozinha;15:04:00;45200,00
28/01/2025;Cozinha;18:07:00;54350,00
29/01/2025;Cozinha;17:50:00;53500,00
30/01/2025;Cozinha;18:59:00;56950,00
31/01/2025;Cozinha;14:05:00;42250,00
01/02/2025;Cozinha;15:13:00;45650,00
02/02/2025;Cozinha;12:29:00;37450,00
03/02/2025;Cozinha;11:25:00;34250,00
04/02/2025;Cozinha;09:44:00;29200,00
05/02/2025;Cozinha;14:53:00;44650,00
06/02/2025;Cozinha;14:07:00;42350,00
07/02/2025;Cozinha;16:05:00;48250,00
08/02/2025;Cozinha;12:10:00;36500,00
09/02/2025;Cozinha;08:27:00;25350,00
10/02/2025;Cozinha;16:05:00;48250,00
11/02/2025;Cozinha;13:48:00;41400,00
12/02/2025;Cozinha;13:26:00;40300,00
13/02/2025;Cozinha;10:41:00;32050,00
14/02/2025;Cozinha;13:48:00;41400,00
15/02/2025;Cozinha;21:25:00;64250,00
16/02/2025;Cozinha;18:43:00;56150,00
17/02/2025;Cozinha;03:51:00;11550,00
18/02/2025;Cozinha;13:18:00;39900,00
19/02/2025;Cozinha;09:48:00;29400,00
20/02/2025;Cozinha;07:55:00;23750,00
21/02/2025;Cozinha;13:36:00;40800,00
22/02/2025;Cozinha;12:35:00;37750,00
23/02/2025;Cozinha;19:05:00;57250,00
24/02/2025;Cozinha;14:07:00;42350,00
25/02/2025;Cozinha;19:38:00;58900,00
26/02/2025;Cozinha;02:19:00;6950,00
27/02/2025;Cozinha;11:16:00;33800,00
28/02/2025;Cozinha;11:28:00;34400,00
01/03/2025;Cozinha;15:21:00;46050,00
02/03/2025;Cozinha;21:55:00;65750,00
03/03/2025;Cozinha;11:18:00;33900,00
04/03/2025;Cozinha;18:26:00;55300,00
05/03/2025;Cozinha;16:33:00;49650,00
06/03/2025;Cozinha;21:04:00;63200,00
07/03/2025;Cozinha;04:14:00;12700,00
08/03/2025;Cozinha;15:41:00;47050,00
09/03/2025;Cozinha;16:04:00;48200,00
10/03/2025;Cozinha;10:02:00;30100,00
11/03/2025;Cozinha;09:28:00;28400,00
12/03/2025;Cozinha;13:27:00;40350,00
13/03/2025;Cozinha;03:25:00;10250,00
14/03/2025;Cozinha;17:05:00;51250,00
15/03/2025;Cozinha;19:51:00;59550,00
16/03/2025;Cozinha;21:15:00;63750,00
17/03/2025;Cozinha;11:23:00;34150,00
18/03/2025;Cozinha;19:56:00;59800,00
19/03/2025;Cozinha;11:53:00;35650,00
20/03/2025;Cozinha;11:27:00;34350,00
21/03/2025;Cozinha;01:21:00;4050,00
22/03/2025;Cozinha;16:36:00;49800,00
23/03/2025;Cozinha;20:36:00;61800,00
24/03/2025;Cozinha;05:54:00;17700,00
25/03/2025;Cozinha;11:29:00;34450,00
26/03/2025;Cozinha;13:05:00;39250,00
27/03/2025;Cozinha;12:21:00;37050,00
28/03/2025;Cozinha;14:44:00;44200,00
29/03/2025;Cozinha;07:27:00;22350,00
30/03/2025;Cozinha;13:01:00;39050,00
31/03/2025;Cozinha;13:45:00;41250,00
01/04/2025;Cozinha;05:07:00;15350,00
02/04/2025;Cozinha;04:51:00;14550,00
03/04/2025;Cozinha;07:42:00;23100,00
04/04/2025;Cozinha;17:54:00;53700,00
05/04/2025;Cozinha;13:54:00;41700,00
06/04/2025;Cozinha;19:33:00;58650,00
07/04/2025;Cozinha;07:40:00;23000,00
08/04/2025;Cozinha;17:48:00;53400,00
09/04/2025;Cozinha;17:14:00;51700,00
10/04/2025;Cozinha;10:09:00;30450,00
11/04/2025;Cozinha;18:27:00;55350,00
12/04/2025;Cozinha;06:06:00;18300,00
13/04/2025;Cozinha;15:33:00;46650,00
14/04/2025;Cozinha;14:02:00;42100,00
