Data;Sensor;Hora_Ativo;ConsumoWH
01/01/2025;Piscina;18:17:00;127983,33
02/01/2025;Piscina;07:53:00;55183,33
03/01/2025;Piscina;18:35:00;130083,33
04/01/2025;Piscina;13:30:00;94500,00
05/01/2025;Piscina;14:47:00;103483,33
06/01/2025;Piscina;04:55:00;34416,67
07/01/2025;Piscina;15:59:00;111883,33
08/01/2025;Piscina;16:13:00;113516,67
09/01/2025;Piscina;03:16:00;22866,67
10/01/2025;Piscina;15:57:00;111650,00
11/01/2025;Piscina;19:45:00;138250,00
12/01/2025;Piscina;06:10:00;43166,67
13/01/2025;Piscina;15:14:00;106633,33
14/01/2025;Piscina;16:51:00;117950,00
15/01/2025;Piscina;06:58:00;48766,67
16/01/2025;Piscina;17:00:00;119000,00
17/01/2025;Piscina;18:25:00;128916,67
18/01/2025;Piscina;10:52:00;76066,67
19/01/2025;Piscina;16:41:00;116783,33
20/01/2025;Piscina;18:52:00;132066,67
21/01/2025;Piscina;14:47:00;103483,33
22/01/2025;Piscina;15:48:00;110600,00
23/01/2025;Piscina;03:16:00;22866,67
24/01/2025;Piscina;11:11:00;78283,33
25/01/2025;Piscina;11:19:00;79216,67
26/01/2025;Piscina;09:49:00;68716,67
27/01/2025;Piscina;19:53:00;139183,33
28/01/2025;Piscina;19:05:00;133583,33
29/01/2025;Piscina;00:56:00;6533,33
30/01/2025;Piscina;12:42:00;88900,00
31/01/2025;Piscina;16:48:00;117600,00
01/02/2025;Piscina;07:21:00;51450,00
02/02/2025;Piscina;09:47:00;68483,33
03/02/2025;Piscina;21:56:00;153533,33
04/02/2025;Piscina;09:40:00;67666,67
05/02/2025;Piscina;07:11:00;50283,33
06/02/2025;Piscina;08:45:00;61250,00
07/02/2025;Piscina;16:44:00;117133,33
08/02/2025;Piscina;12:25:00;86916,67
09/02/2025;Piscina;03:17:00;22983,33
10/02/2025;Piscina;09:36:00;67200,00
11/02/2025;Piscina;09:24:00;65800,00
12/02/2025;Piscina;13:13:00;92516,67
13/02/2025;Piscina;16:42:00;116900,00
14/02/2025;Piscina;18:31:00;129616,67
15/02/2025;Piscina;14:42:00;102900,00
16/02/2025;Piscina;15:47:00;110483,33
17/02/2025;Piscina;12:30:00;87500,00
18/02/2025;Piscina;14:08:00;98933,33
19/02/2025;Piscina;22:41:00;158783,33
20/02/2025;Piscina;13:31:00;94616,67
21/02/2025;Piscina;20:19:00;142216,67
22/02/2025;Piscina;15:05:00;105583,33
23/02/2025;Piscina;10:44:00;75133,33
24/02/2025;Piscina;04:23:00;30683,33
